B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,OM [%]
1854.0,1313.0,1237.0,1641.0,1732.0,1847.0,2029.0,1720.0,2050.0,642.0,12.0,2078.0,1779.0,1.14
2318.0,2098.0,2034.0,2181.0,1900.0,1956.0,2034.0,2206.0,2089.0,756.0,19.0,2269.0,2002.0,1.44
2128.0,2362.0,2462.0,2725.0,2750.0,3102.0,3247.0,2979.0,3354.0,953.0,17.0,3601.0,2777.0,3.73
1976.0,1570.0,1686.0,1884.0,2242.0,2474.0,2448.0,1946.0,2557.0,795.0,16.0,3184.0,2671.0,3.66
1623.0,1237.0,1175.0,1398.0,1773.0,1927.0,1837.0,1607.0,1905.0,624.0,15.0,2647.0,2265.0,1.17
1798.0,1450.0,1492.0,1846.0,2172.0,2325.0,2536.0,2006.0,2548.0,592.0,10.0,2406.0,1918.0,0.43
1634.0,1879.0,2258.0,3156.0,3069.0,3371.0,3687.0,3756.0,3880.0,1023.0,18.0,4248.0,3259.0,0.89
1540.0,2026.0,2339.0,3125.0,3106.0,3339.0,3591.0,3713.0,3869.0,1046.0,15.0,4901.0,3888.0,3.7
1400.0,1380.0,1434.0,1640.0,1670.0,1936.0,2050.0,1940.0,2174.0,788.0,14.0,3553.0,2697.0,8.77
1577.0,2134.0,2403.0,3039.0,2783.0,3264.0,3590.0,3439.0,3743.0,914.0,15.0,3823.0,3229.0,1.22
1859.0,1831.0,2236.0,3155.0,3244.0,3521.0,3830.0,3718.0,4105.0,1191.0,19.0,4933.0,4149.0,0.84
1382.0,1315.0,1436.0,2092.0,2036.0,2223.0,2400.0,2503.0,2526.0,761.0,15.0,2943.0,2688.0,1.7
1428.0,1441.0,1662.0,2457.0,2753.0,2976.0,3225.0,2931.0,3402.0,860.0,16.0,4084.0,3389.0,0.96
1437.0,1326.0,1534.0,2172.0,1920.0,2456.0,2627.0,2594.0,2821.0,847.0,14.0,3197.0,2476.0,2.2
1756.0,1527.0,1666.0,1800.0,1984.0,2144.0,2304.0,2173.0,2272.0,580.0,13.0,3024.0,1887.0,1.14
1597.0,1733.0,1911.0,2611.0,2467.0,2590.0,2848.0,3158.0,3198.0,734.0,17.0,3652.0,2478.0,1.77
1806.0,1928.0,1934.0,2157.0,2019.0,2301.0,2509.0,2499.0,2800.0,617.0,15.0,2753.0,2050.0,2.29
2072.0,2472.0,2499.0,2806.0,2768.0,2918.0,3153.0,3081.0,3378.0,686.0,17.0,3750.0,3302.0,0.41
1308.0,1133.0,908.0,507.0,452.0,449.0,459.0,405.0,424.0,129.0,11.0,278.0,176.0,6.6
1602.0,1509.0,1508.0,1737.0,1831.0,2011.0,2206.0,2077.0,2389.0,662.0,15.0,2805.0,1901.0,5.38
1557.0,1590.0,1776.0,1870.0,1778.0,1429.0,1546.0,1274.0,1379.0,462.0,16.0,914.0,591.0,1.63
1551.0,1533.0,1661.0,1951.0,1996.0,2152.0,2386.0,2247.0,2588.0,613.0,16.0,2919.0,2108.0,1.2
1947.0,2029.0,2231.0,2747.0,2964.0,3185.0,3428.0,3274.0,3876.0,1539.0,20.0,4638.0,3623.0,1.5
1847.0,1835.0,1795.0,1859.0,1828.0,1940.0,2069.0,2041.0,2149.0,1060.0,17.0,2611.0,2231.0,1.75
1982.0,1959.0,2278.0,2951.0,3103.0,3336.0,3567.0,3345.0,3621.0,1360.0,19.0,3572.0,2968.0,3.35
1381.0,1254.0,1274.0,1410.0,1440.0,1586.0,1671.0,1529.0,1671.0,630.0,11.0,1394.0,1140.0,1.34
1546.0,1475.0,1579.0,1850.0,1901.0,2019.0,2108.0,2064.0,2151.0,1290.0,33.0,2258.0,1832.0,1.62
1393.0,1509.0,1631.0,2180.0,2348.0,2656.0,2848.0,2586.0,2995.0,1085.0,16.0,3531.0,2776.0,0.58
1259.0,895.0,870.0,516.0,792.0,394.0,394.0,299.0,245.0,265.0,10.0,128.0,73.0,1.19
1808.0,1698.0,1767.0,2369.0,2319.0,2641.0,2733.0,2834.0,2924.0,854.0,14.0,3358.0,2805.0,6.09
2097.0,2382.0,2384.0,2547.0,2661.0,2757.0,2875.0,2574.0,2645.0,641.0,14.0,2497.0,2260.0,7.83
1922.0,1980.0,2041.0,2291.0,2507.0,2629.0,3015.0,2775.0,3198.0,773.0,18.0,3444.0,2608.0,1.31
1670.0,1546.0,1585.0,1803.0,1888.0,2029.0,2151.0,2057.0,2293.0,623.0,15.0,2622.0,2025.0,0.79
2032.0,2313.0,2560.0,3171.0,2958.0,3232.0,3442.0,3748.0,3760.0,1521.0,18.0,4045.0,3079.0,3.35
1922.0,2037.0,2017.0,2234.0,2188.0,2342.0,2505.0,2313.0,2424.0,1007.0,17.0,2704.0,2600.0,1.0
2180.0,2205.0,2427.0,2934.0,2949.0,3089.0,3338.0,3125.0,3461.0,774.0,15.0,3629.0,3036.0,3.03
1315.0,1415.0,1598.0,1965.0,2003.0,2134.0,2306.0,2258.0,2458.0,649.0,15.0,3142.0,2028.0,0.48
1571.0,1222.0,1189.0,1386.0,1998.0,2072.0,2360.0,1593.0,2277.0,883.0,19.0,3140.0,2573.0,3.5
1891.0,1600.0,1591.0,2496.0,2591.0,2953.0,3112.0,2799.0,3132.0,819.0,18.0,3567.0,3077.0,1.3
2526.0,2392.0,2792.0,3368.0,3245.0,2073.0,2151.0,1773.0,1557.0,328.0,12.0,247.0,183.0,3.0
1698.0,1257.0,954.0,859.0,908.0,1019.0,955.0,660.0,915.0,255.0,9.0,765.0,656.0,3.2
2009.0,2071.0,2171.0,2367.0,2512.0,2712.0,2927.0,2730.0,3019.0,740.0,12.0,2540.0,1259.0,1.4
1914.0,2618.0,2950.0,3428.0,2941.0,3511.0,3822.0,3956.0,3926.0,943.0,15.0,4337.0,3290.0,0.9
1839.0,1841.0,2011.0,2476.0,2580.0,2889.0,3132.0,2941.0,3323.0,879.0,17.0,3670.0,2937.0,1.2
2067.0,2262.0,2736.0,3857.0,4063.0,4286.0,4591.0,4495.0,4794.0,1705.0,24.0,5538.0,4471.0,0.7
1877.0,2173.0,2594.0,3591.0,3477.0,3792.0,3992.0,4223.0,4293.0,1467.0,22.0,4948.0,4154.0,2.4
1925.0,1732.0,1974.0,2495.0,2573.0,2833.0,3032.0,2998.0,3107.0,1168.0,18.0,3347.0,2599.0,0.2
1782.0,1620.0,1554.0,1574.0,1654.0,1819.0,1900.0,1609.0,1858.0,696.0,14.0,1646.0,1317.0,0.8
1576.0,1369.0,1382.0,1580.0,1728.0,1909.0,2036.0,1900.0,2168.0,758.0,14.0,2428.0,1746.0,1.6
1714.0,1441.0,1477.0,1677.0,1753.0,1929.0,2081.0,1918.0,2162.0,647.0,15.0,2617.0,1957.0,0.8
1577.0,1443.0,1462.0,1738.0,1810.0,1958.0,2072.0,2078.0,2222.0,702.0,14.0,2293.0,1652.0,0.9
