B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,pH
1672,1441,1369,1318,1260,1342,1416,1241,1453,386,16,1244,1023,7.2
1838,1958,1973,2150,1928,2188,2292,2298,2414,870,15,2413,1944,8.5
1546,1583,1550,1776,1723,1914,2156,1972,2235,782,17,2403,1824,6.7
1451,1274,1443,2078,2182,2381,2546,2474,2645,860,18,3279,2380,6.7
1592,1575,1786,2382,2550,2656,2948,2768,3087,823,16,3635,2771,8.1
1958,1865,1933,2169,2088,2455,2554,2635,2715,826,18,3218,2425,6.6
2195,2016,2103,2325,2566,2609,2829,2777,3115,821,14,3168,2563,8.5
2181,2278,2566,3170,3321,3671,3906,3867,4202,1532,22,5131,4102,7.9
2080,2203,2346,2571,2574,2766,2879,2745,2922,729,15,2831,1873,8.3
2210,2066,1951,2118,2195,2494,2618,2362,2743,840,13,2303,1427,8.1
1756,1441,1267,1288,1483,1575,1629,1329,1648,509,13,1936,1609,8.2
1653,1721,1696,1761,1896,2111,2198,2049,2265,761,10,1936,1585,8.5
1826,1378,1312,1331,1027,993,1215,1388,1154,560,12,1209,970,8
1648,1543,1467,1553,1487,1974,2177,1605,2345,669,13,1823,1469,8.3
1306,957,704,385,341,260,240,187,185,66,8,68,54,8.4
2672,1836,1726,1669,1675,1960,1922,1765,2034,1028,15,2723,2591,7.9
2464,2432,2513,2740,2821,3004,3215,3067,3271,1385,15,3257,2773,6.5
1834,1814,2086,2417,2462,2653,2845,2679,3027,674,19,3785,3008,7.4
1751,2567,2352,2597,2616,2674,2638,2689,2576,938,18,2850,2651,4.7
1360,1073,1066,1246,1318,1487,1603,1489,1598,683,17,2109,1537,4.8
1325,1341,1645,2221,2349,2588,2796,2659,2915,881,17,3741,2903,5.2
1282,1315,1675,2161,2338,2598,2807,2616,2929,1144,13,3158,2481,5.5
1493,1269,1163,1269,1281,1391,1532,1499,1738,534,16,2435,1610,7.4
1206,1053,1027,670,522,447,433,387,436,196,9,209,181,7.9
1785,1756,1826,2195,2265,2455,2723,2571,2943,740,15,3783,3388,7.8
1536,1536,1610,1853,1900,2008,2180,2060,2301,483,10,2565,2191,7.9
1707,1604,1659,1915,1912,2031,2208,2127,2365,717,17,3321,2736,8
2197,1956,2247,3029,3288,3533,3865,3503,4037,1324,20,5168,3701,7.8
