,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,pH
302,38.7173,-6.9669,0.18334179786693752,1314.0,1252.0,1286.0,1608.0,1770.0,2062.0,2307.0,2330.0,2605.0,750.0,13.0,2614.0,1547.0,6.3
303,38.8006,-6.6835,0.10728205128205129,1369.0,1376.0,1538.0,2176.0,2297.0,2528.0,2783.0,2699.0,3036.0,762.0,15.0,3540.0,2578.0,6.0
304,38.684,-6.6835,0.1468397019947128,1254.0,1122.0,1192.0,1775.0,1847.0,2193.0,2477.0,2386.0,2640.0,667.0,13.0,2929.0,2401.0,8.2
305,38.7673,-6.5169,0.1528002589834898,1479.0,1684.0,1981.0,2617.0,2775.0,3280.0,3579.0,3561.0,3830.0,799.0,14.0,3862.0,3023.0,8.1
306,38.8312,-6.1141,0.1563678561067595,1441.0,1153.0,1092.0,1454.0,1585.0,1901.0,2027.0,1993.0,2173.0,1043.0,28.0,3334.0,2709.0,6.4
307,38.634,-6.8002,0.15392189038398424,1195.0,991.0,952.0,1289.0,1386.0,1684.0,1865.0,1758.0,1977.0,522.0,12.0,1746.0,1292.0,7.2
308,38.6506,-6.7002,0.16363636363636364,1258.0,1131.0,1131.0,1426.0,1564.0,1782.0,1987.0,1984.0,2243.0,601.0,12.0,2715.0,1772.0,6.4
309,38.6173,-6.4835,0.11238779174147218,1483.0,1222.0,1102.0,1236.0,1360.0,1526.0,1648.0,1549.0,1681.0,590.0,11.0,1907.0,1424.0,6.8
310,38.584,-6.4169,0.16591928251121077,1410.0,1256.0,1232.0,1488.0,1676.0,1985.0,2151.0,2080.0,2284.0,975.0,16.0,2729.0,2150.0,7.8
311,38.584,-6.3168,0.05640019617459539,1350.0,893.0,704.0,962.0,1163.0,1274.0,1315.0,1077.0,1394.0,786.0,15.0,1844.0,1491.0,6.9
