,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,Ca [mg/kg]
540,41.434,0.1343,0.15998412068281065,1529.0,1636.0,1741.0,2116.0,2288.0,2651.0,2914.0,2922.0,3209.0,743.0,15.0,3878.0,2840.0,27.0
541,41.4348,0.1335,0.07952468007312614,1737.0,2019.0,2290.0,3021.0,3063.0,3450.0,3752.0,3543.0,4040.0,873.0,15.0,4512.0,3138.0,21.0
542,41.4341,0.1335,0.15241935483870966,1633.0,1592.0,1689.0,2102.0,2086.0,2504.0,2877.0,2858.0,3117.0,798.0,13.0,3488.0,2587.0,16.0
543,41.5674,-0.5999,0.16998950682056663,1436.0,1516.0,1514.0,1582.0,1517.0,1863.0,2072.0,2230.0,2302.0,621.0,12.0,2237.0,1287.0,7.0
544,41.4841,-0.4665,0.095777887300805,2027.0,2119.0,2291.0,2752.0,2884.0,3141.0,3478.0,3335.0,3750.0,1057.0,16.0,4083.0,3031.0,11.0
545,41.6189,2.1804,0.1222684703433923,1570.0,1406.0,1394.0,1687.0,1621.0,2057.0,2230.0,2157.0,2426.0,556.0,13.0,3070.0,2692.0,7.0
546,37.6673,-1.0332,0.12904059994828032,1434.0,1176.0,1083.0,1684.0,1796.0,2132.0,2320.0,2183.0,2390.0,839.0,14.0,2695.0,1983.0,5.0
547,38.3812,-1.1166,0.18897799712111865,2086.0,1702.0,1624.0,1972.0,1990.0,2469.0,2659.0,2891.0,3151.0,1017.0,22.0,3587.0,2583.0,2.0
548,37.6506,-4.5756,0.09832134292565947,1846.0,1997.0,2336.0,3196.0,3300.0,3674.0,4030.0,3893.0,4265.0,1251.0,22.0,5228.0,4217.0,24.0
549,37.5556,-4.7268,0.0906764168190128,1792.0,1884.0,2096.0,2487.0,2569.0,2813.0,3027.0,2983.0,3296.0,1057.0,18.0,3928.0,2807.0,19.0
550,37.4631,-4.5543,0.108003108003108,1534.0,1310.0,1341.0,1722.0,1903.0,2212.0,2423.0,2139.0,2586.0,961.0,16.0,2771.0,2330.0,19.0
551,37.432,-4.5901,0.1968880909634949,1765.0,1688.0,1788.0,2013.0,2136.0,2755.0,3126.0,3000.0,3449.0,1170.0,19.0,3386.0,2398.0,23.0
552,42.2007,-1.4996,0.049310974597376725,1888.0,1887.0,2320.0,2863.0,2905.0,3128.0,3299.0,3160.0,3435.0,1050.0,15.0,4298.0,3437.0,26.0
553,42.2006,-1.4999,0.06192800488102502,1888.0,1991.0,2460.0,3075.0,3126.0,3324.0,3582.0,3481.0,3722.0,1050.0,15.0,4610.0,3858.0,28.0
